;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;non region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
rebel_type			gladiator_uprising
category			gladiator_revolt
chance				100
description			gladiator_uprising
unit				Peasants

;======================================================================================
					
rebel_type			brigands
category			brigands
chance				50
description			brigands
unit				Peasant Archers
unit				Peasant Crossbowmen
unit				Sergeant Spearmen
					
rebel_type			pirates
category			pirates
chance				50
description			pirates
unit				pirate ship		

;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
		
rebel_type			Livonian_Rebels
category			peasant_revolt 
chance				3					
description			Livonian_Rebels
unit				Woodsmen
unit				Woodsmen
unit				Woodsmen
unit				EE Peasant Archers
unit				Lithuanian Archers
unit				Viking Raiders
unit				Lithuanian Cavalry
unit				Lithuanian Cavalry

rebel_type			Bohemian_Rebels
category			peasant_revolt 
chance				3					
description			Bohemian_Rebels
unit				Mailed Knights
unit				Mailed Knights
unit				EE Peasant Archers
unit				EE Peasants
unit				Sergeant Spearmen
unit				Sergeant Spearmen
unit				Sergeant Spearmen
unit				Crossbow Militia
unit				Hussites
unit				Hussites

rebel_type			Bulgarian_Rebels
category			peasant_revolt 
chance				3					
description			Bulgarian_Rebels
unit				Bulgarian Brigands
unit				Bulgarian Brigands
unit				Slav Levies
unit				Slav Levies
unit				Magyar Cavalry
unit				Magyar Cavalry
unit				Mailed Knights
unit				Mailed Knights
unit				Serbian Knights

rebel_type			Wallachian_Rebels
category			peasant_revolt 
chance				3					
description			Wallachian_Rebels
unit				Bulgarian Brigands
unit				Slav Levies
unit				Slav Levies
unit				Magyar Cavalry
unit				Feudal Knights
unit				Magyar Cavalry
unit				Magyar Cavalry
unit				Transilvanian Peasants
unit				Transilvanian Peasants

rebel_type			Greek_Rebels
category			peasant_revolt 
chance				3					
description			Greek_Rebels
unit				Contaratoi
unit				Contaratoi
unit				Contaratoi
unit				Toxotae
unit				Toxotae
unit				Cavalarii
unit				Cavalarii
unit				Scoutatoi
unit				Stratiotae
unit				Stratiotae
unit				Scoutatoi
unit				Scoutatoi
unit				Scoutatoi Swordsmen
unit				Toxotae
unit				Pronoiarii

rebel_type			Native_Rebels
category			peasant_revolt 
chance				3					
description			Native_Rebels
unit				Peasant Archers

rebel_type			Croatian_Rebels
category			peasant_revolt 
chance				3					
description			Croatian_Rebels
unit				Croat Axemen
unit				Croat Axemen
unit				Croat Axemen
unit				Croat Axemen
unit				Peasant Archers
